AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,5100,4.8,1.905,1.37,,,141.34,293990,2.3,57.69,85.33,,,,120000,177480,,,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,90520,1.5,33.81,1.46,,,60.77,126410,1.9,23.61,33.51,49.24,78.64,106.65,49110,69700,102420,163560,221840,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,510,6.1,0.192,0.9,,,,70560,1.8,,,,,,27560,48030,52330,94520,138010,TRUE,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,640,7.1,0.239,1.76,,,61.94,128840,2.5,34.14,44.74,59.24,74.34,92.06,71020,93050,123220,154640,191480,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,6060,4.5,2.262,0.93,,,74.34,154620,1.7,36.53,48.26,66.13,92.92,,75990,100370,137560,193280,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,9230,6.3,3.449,0.91,,,68.3,142070,3.1,30.02,42.32,60.38,83.1,112.92,62450,88020,125600,172850,234870,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1790,11.8,0.668,1.39,,,72.18,150130,8.6,32.37,44.82,63.28,86.84,110.22,67320,93220,131620,180630,229260,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,890,12.4,0.333,1.59,,,64.02,133170,6.4,28.22,41.17,55.48,76.28,102.21,58710,85630,115390,158650,212600,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,4550,5.5,1.698,1.06,,,60.34,125510,1.2,36.48,44.17,53.91,73.39,84.92,75870,91870,112130,152640,176640,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,3630,3.1,1.356,1.57,,,48,99830,3.1,24.58,32.63,44.37,59.09,75.24,51130,67860,92280,122910,156510,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,13570,3.2,5.068,1.3,,,81.85,170240,1.1,50.55,65.98,81.65,95.24,108.07,105150,137240,169830,198100,224790,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,16140,2.8,6.028,1.16,,,78.36,162980,1.2,40.46,52.6,70.61,88.22,,84150,109410,146860,183500,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,2300,2.9,0.859,1.68,,,70.25,146110,1.1,44.62,56.66,70,81.18,88.22,92810,117860,145600,168860,183500,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,3610,3.6,1.347,1.03,,,56.61,117740,2.5,30.82,40.38,51.38,64.99,83.08,64100,83990,106870,135170,172800,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,480,8.1,0.181,1.47,,,68.88,143260,1.7,41.49,52.59,65.57,81.58,100.62,86300,109380,136380,169680,209290,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,3610,3.2,1.349,1.02,,,74.88,155740,1.1,43.33,52.71,68.36,87.33,111.82,90130,109630,142190,181650,232590,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,,,,,,,61.97,128890,5.9,29.69,39.69,55.5,77.41,101.79,61760,82560,115450,161020,211730,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,80,33.2,0.028,0.69,,,48.49,100860,3.6,31.74,37.03,51.16,57.69,64.11,66020,77030,106400,120000,133360,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,5780,7.7,2.16,1,,,58.72,122140,1.9,34.53,43.29,53.68,72.35,85.47,71810,90040,111650,150500,177790,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,5780,4.3,2.16,1.08,,,,125720,1,,,,,,77400,103030,127960,151850,163190,TRUE,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,,,,,,,66.07,137420,0.8,34.29,41.03,52.91,77.97,105.55,71320,85340,110050,162170,219540,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,1860,7.3,0.696,2.08,,,53.83,111970,1.6,28.1,39.14,53.37,64.62,76.36,58460,81420,111020,134410,158830,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,4980,4.4,1.859,1.36,,,78.18,162610,1,50.57,62.99,79.84,88.22,104.62,105180,131020,166070,183500,217610,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,2280,11.1,0.852,0.53,,,36.21,75330,2.2,22.75,27.05,33.87,41.83,49.04,47320,56260,70450,87000,102010,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,80,11.3,0.03,0.98,,,49.3,102540,5.4,30.76,31.89,52.9,63.57,66.5,63980,66320,110020,132220,138320,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,690,8.3,0.258,1.32,,,39.77,82720,3.1,21.01,27.15,37,48.49,61.2,43690,56470,76960,100870,127290,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,470,10.3,0.175,0.63,,,37.75,78520,4.2,22.4,28.53,31.15,42.87,60.13,46580,59340,64790,89160,125070,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,14770,1.9,5.517,1.63,,,72.4,150590,1.9,38.78,49.6,62.51,81.33,109.64,80660,103170,130030,169160,228060,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,4630,2.8,1.73,2.72,,,82.52,171630,2.4,53.85,62.82,76.36,88.22,110.11,112010,130670,158830,183500,229030,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,230,0,0.086,0.94,,,42.38,88150,0,38.15,39.52,42.03,44.68,47.66,79340,82200,87410,92930,99130,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,4810,6.3,1.796,0.96,,,43.21,89890,3.6,20.72,28.02,35.89,49.22,74.04,43110,58280,74650,102380,154010,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,3980,4.2,1.487,1.3,,,44.15,91840,1.7,27.36,32.51,40.09,51.02,66.69,56920,67630,83390,106110,138720,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,110,2.3,0.042,0.54,,,56.45,117420,1.3,30.98,39.65,51.13,67.31,86.74,64440,82470,106350,140000,180420,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,300,7.7,0.112,1.2,,,44.94,93480,2.6,29.79,35.11,40.36,52.5,64.45,61950,73020,83940,109200,134050,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,,,,,,,32.95,68530,8.6,18.88,24.62,32.85,38.96,42.99,39280,51200,68320,81050,89420,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,20480,2,7.649,1.97,,,67.83,141090,1,34.98,48.26,66.3,81.86,95.36,72750,100380,137900,170280,198340,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,100,16.3,0.038,0.44,,,,,,,,,,,,,,,,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,9080,4.8,3.391,1.08,,,42.86,89140,1.6,22.76,30.06,39.32,53.99,66.41,47330,62510,81780,112300,138130,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,5020,5.9,1.876,0.97,,,41.35,86000,1.2,25.53,29.98,40.73,49.11,59.23,53100,62360,84720,102150,123200,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,110,31.9,0.04,0.69,,,52.71,109650,9.6,38.36,39.7,47.24,68.03,69.2,79780,82580,98260,141490,143930,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,8230,5.9,3.074,1.22,,,42.09,87550,3.1,25.18,30.91,39.62,51.48,61.84,52370,64300,82400,107080,128620,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,4130,5.2,1.541,1.06,,,39.75,82680,2.1,22.89,28.57,37.55,48.12,59.51,47620,59420,78110,100080,123770,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,16190,4.2,6.048,1.03,,,41.69,86710,1.1,24.21,29.28,37.79,50.48,64.9,50360,60900,78610,105000,134990,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,860,7.3,0.319,0.77,,,47.18,98130,2.1,32.26,37.93,43.92,51.53,67.23,67100,78890,91350,107180,139840,,
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,7270,4.4,2.715,1.8,,,47.87,99570,1.4,27.8,35.45,46.96,59.23,70,57830,73740,97680,123200,145600,,
